,CA.102548,CA.104338,CA.105094,CA.109745,CA.1906415,CA.1912627,CA.1924346,CA.1926760,CA.1927842,CA.1933414,CA.1940640,CA.2004407,CA.2005288,CA.2006047,CA.2008260,CA.2009329,CA.2009381,CA.2009850,CA.2017611,CA.2039179,CA.2040686,CA.2045012,CA.2046297,CA.348981,CA.354300,CA.359448,CA.94377,CA.98389,CA.98475,CA.99145,CAP.102548,CAP.104338,CAP.105094,CAP.109745,CAP.1906415,CAP.1912627,CAP.1924346,CAP.1926760,CAP.1927842,CAP.1933414,CAP.1940640,CAP.2004407,CAP.2005288,CAP.2006047,CAP.2008260,CAP.2009329,CAP.2009381,CAP.2009850,CAP.2017611,CAP.2039179,CAP.2040686,CAP.2046297,CAP.2046641,CAP.348981,CAP.354300,CAP.359448,CAP.94377,CAP.98389,CAP.98475,CAP.99145
TSPAN6,0.9486008474933558,1.570462931026041,0.0,2.689299160535892,2.4646682670034443,2.523561956057013,2.3103401206121505,2.1953475983222193,2.889473542531109,3.6881803585869264,2.711494906650088,2.269033146455237,3.114367024952,3.641546029087524,2.411426245726465,3.948600847493356,3.493134922305505,2.9088129077395473,2.7782085763980877,3.023255352300303,3.349082146391089,2.9354597478052895,3.476381687567235,3.0125686735030555,2.526068811667588,1.632268215499513,2.5285713188707577,2.594548549550354,3.289834465177509,1.7398481026993275,3.6622054996536164,2.137503523749935,3.845991770664573,3.995484518877507,2.944858445807539,0.0,3.5172756932095814,3.017921907997262,2.634593268445757,2.7246502717329673,2.84799690655495,2.9616233282869446,3.613531652917927,4.064365540263628,3.7059779016825223,3.6599245584023783,3.4802651220544627,3.3405622690264134,2.9763636357327616,3.2794712956444676,2.9373443921502322,3.2249663650002742,3.3132458517875616,2.873813198359087,2.7949356628035362,2.877744249949002,2.2448870591235344,2.5459683691052923,3.5185351389821804,2.4698859762744636
TNMD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29865831556451516,0.47508488294878287,0.5260688116675876,0.44360665147561457,0.12432813500220177,0.09761079662642233,1.0976107966264221,0.0,0.5849625007211562,0.27500704749986976,0.2630344058337938,0.13750352374993502,0.23878685958711648,0.2630344058337938,0.0,0.0,0.0,0.5753123306874368,0.0,0.34482849699744117,0.6780719051126377,0.0,1.1110313123887439,2.763411574470007,1.4646682670034443,0.3103401206121505,1.4905701304462013,0.43295940727610627,0.0,0.0,0.2630344058337938,3.6357543912777603,0.3334237337251918,2.070389327891398,0.08406426478847455,0.11103131238874395,0.0,0.0,0.6690267655096306,0.7048719644563528,0.5753123306874368,0.0,0.29865831556451516,0.16349873228287956,0.22650852980867975,1.0565835283663676,0.36737106564852945,0.0,0.09761079662642233,3.349082146391089,1.1243281350022014,0.12432813500220177,0.47508488294878287
DPM1,0.0,0.5160151470036647,0.0,2.1473066987802936,3.24031432933371,3.2524762141352173,3.137503523749935,3.1076878693143737,2.8875252707415875,2.8257856274647914,2.929790997718597,2.702657543390911,3.408711861029429,2.957914598632985,3.820689560559215,3.4208865749755315,3.323370069061269,3.12267271882414,4.2502036564992975,3.2203299548795554,2.7990873060740036,3.351910961103077,3.263034405833794,1.9597701552114672,2.9088129077395473,1.8953026213333068,4.020591094773247,2.9616233282869446,2.27500704749987,2.8032270364349277,0.0,3.303050084681673,3.541019153133559,3.3476656563009706,2.925999418556223,0.0,3.145677455195635,2.3757345385831563,0.5260688116675876,3.454175893185802,0.0,2.414135532984451,2.3589588258323295,0.0,0.8073549220576041,2.7484612330040354,2.2141248053528475,2.833902076669163,4.341985747228616,2.0036022366801953,2.568032104771279,3.0823619695574735,2.7484612330040354,2.575312330687437,3.361768359419153,3.343407822297814,2.5285713188707577,2.2479275134435857,3.0548484769956197,1.9145645234939397
SCYL3,2.761285273361619,2.625270489374693,3.2868811477881614,2.4802651220544627,3.035623909730721,2.8135246892978105,3.3291235962915664,2.6712933724815757,2.790772037862,3.7495342676692616,3.5160151470036647,3.2942531364445142,3.327687364176047,3.372952097911829,2.788685710613534,2.4802651220544627,3.1858665453113337,3.8629472480209217,2.2203299548795554,2.430285272977781,3.0806576633452254,3.456806149230474,4.051372101721025,3.2539892662307865,2.438292851579147,2.541019153133559,2.7570232465074596,3.19377174339668,3.550900664647523,2.903038270112912,3.1176950426697547,1.1763227726404628,3.0531113364595623,3.2464080872463845,2.2016338611696504,3.2794712956444676,2.389566811762726,2.821710215034674,2.693765712217783,2.4059923596758366,2.560714954474479,2.341985747228616,3.0789513413948217,0.29865831556451516,2.596935142387232,2.6507645591169022,2.786596361890807,3.1651079851445365,1.8439838440483265,2.920293300211007,3.1731274334806563,2.807354922057604,2.6507645591169022,2.5801454844233804,2.4462562298895643,3.0,2.361768359419153,2.702657543390911,3.0789513413948217,1.7355221772965375
C1orf112,1.9373443921502325,2.859969548221026,2.127633279725874,2.855989697308481,2.6229303509201767,3.876762490781555,2.942983598187102,2.6507645591169022,3.1127001327493624,3.8787253414801053,3.904002316283692,3.0531113364595623,4.098453246309274,3.9420452599160467,3.5496691707264905,3.442280035252584,3.249445341085839,4.132576842670009,3.534808661231747,2.6712933724815757,3.261530815243406,3.845991770664573,4.006298023900369,3.221877081077034,2.587364990936461,2.8032270364349277,3.2720231890610485,3.814550423461808,4.154615611326894,2.5434958834257717,4.604071323668861,2.039138393906958,3.0,3.5058909297299574,2.6712933724815757,2.6848187375532224,2.292781749227846,2.8659188145522125,3.964398632203184,2.2660368939953175,4.006298023900369,2.2898344651775093,2.4802651220544627,0.47508488294878287,3.9717734471933728,2.990954860396993,3.2735158897021166,3.5096958419333872,4.336283387864432,2.682573297347578,3.1554254317471973,2.488000770834068,3.2249663650002742,3.438292851579147,3.1176950426697547,2.726831217032493,1.9297909977185974,3.01435529297707,3.049630767724601,2.6758159311722696
FGR,2.5360529002402097,1.5008020530571577,0.0,2.3868109464722167,4.07638806851284,3.257010618206024,3.835924074254375,3.7300964655954685,2.718087583960517,3.00539998774259,2.594548549550354,3.7897292513757694,3.400537929583729,3.0992952043377753,3.4289463447694826,4.035623909730721,3.657640005207824,3.3074285251922473,1.5210507369009632,3.311793717753649,3.327687364176047,3.2387868595871163,2.7092906357233577,4.069530325162305,2.8914191868460786,3.6926503700355298,3.1811025507537978,2.169925001442312,1.4750848829487828,4.135863165368679,3.130930869826449,4.9620862498506435,2.5310694927259543,2.408711861029429,3.2078928516413328,0.0,2.929790997718597,2.641546029087524,1.9107326619029126,3.097610796626422,1.6735564239901446,3.4489009511451276,3.2448870591235344,0.0,3.594548549550354,3.992768430768924,2.4195388915137843,3.0373822220030804,1.5210507369009632,2.454175893185802,2.9981955031532523,2.8399595874895316,3.8349134297010385,4.345538310070007,1.9597701552114672,5.362119166725657,3.527320607877047,3.321928094887362,2.4462562298895643,3.634593268445757
CFH,1.2448870591235344,1.4750848829487828,0.0,1.8439838440483265,3.351910961103077,3.2047667506546134,4.056583528366367,2.339137384919585,2.704871964456353,3.2735158897021166,3.0214797274104517,3.5298209465286954,3.588564737401352,3.3291235962915664,3.922197848396367,3.996388746447621,3.9945797242157473,2.873813198359087,2.9981955031532523,2.4489009511451276,3.228049047884462,3.454175893185802,4.297925052503806,3.6959938131099,2.9873208659292536,1.9523335663696857,2.875780063068488,3.3589588258323295,2.2418401835646704,2.7782085763980877,1.480265122054463,4.777156666004501,4.921721947009604,4.2141248053528475,2.942983598187102,1.899175630480513,3.5298209465286954,3.4515408330178317,3.6633446193660846,4.824258696603374,2.035623909730721,4.275752048828529,3.0874628412503395,6.535430914871279,4.595145567990858,5.183486514459391,3.568032104771279,3.452858964713811,5.2660368939953175,2.722466024471091,3.33199177823206,4.867896463992655,3.9606970393043124,3.9900472195737944,4.0435194936627425,5.024585638278273,4.487357715311547,2.7484612330040354,4.714795011118162,2.2357270598380583
FUCA2,4.51853513898218,3.521050736900963,0.0,4.631104282365877,3.995484518877507,3.0197019144425483,3.9097731041416397,4.376429311069923,4.2712762591759255,3.64961545906341,4.213347281733441,4.152994605492435,5.017921907997263,4.780835001738229,5.110196177754199,4.38543103719352,3.9420452599160467,4.275007047499869,3.969012307516316,3.711494906650088,3.9981955031532523,4.2622828064206555,3.6644828403646827,4.721919445551544,3.9174317553901044,4.181102550753798,4.658782734012828,3.3659724275933836,3.114367024952,3.9717734471933728,3.559491813205038,2.849999259466098,3.4918530963296748,3.6507645591169022,3.0942360698457656,0.21412480535284734,3.521050736900963,4.139960569545456,2.682573297347578,3.9392265777282085,2.2418401835646704,4.082361969557474,3.96254902292306,5.268284666520996,1.903038270112912,3.7803100990433753,3.9439213265534856,4.026800059343715,3.882643049361841,3.9891390073682333,3.84799690655495,3.5323169593327655,4.532316959332765,5.000450771770857,2.9708536543404835,3.689299160535892,1.9068905956085185,3.1259816538547156,3.503348735167504,3.40735275114004
GCLC,5.135863165368679,4.707082991771706,4.509062386361898,4.127633279725874,4.2622828064206555,4.455491620628468,3.883620816285671,4.7136958148433585,4.471837762422287,4.4087118610294285,4.116863757690899,3.631104282365877,4.438292851579146,4.418189947945766,4.14649230697719,4.843481425432457,4.7489978500981485,4.047014819517589,3.91169158187234,4.118525848935668,3.674686619927999,4.646738698307846,4.224966365000275,4.090853430451113,3.787641414483326,4.4154882710497,4.992768430768924,3.8953026213333066,4.018812185742817,4.540399305630624,4.743084055549586,5.7546203116745325,4.997744026059632,4.698774108903683,4.121844297876376,0.5160151470036647,4.458775699080244,4.072963271555224,4.2712762591759255,4.6915341649192,4.4924941516794314,4.354734239970604,4.2509615735332185,7.504540946656629,4.446917864866026,4.37016428054021,4.4705368650925825,4.77663042305105,3.9439213265534856,4.534186139090097,4.269781238274379,4.951401291674311,4.19377174339668,4.2660368939953175,4.473137487772256,4.548436624696042,5.3473113163652854,4.731726322715782,4.76394266044725,4.166715444966422
NFYA,0.765534746362977,1.0908534304511135,0.0,3.550900664647523,4.20945336562895,3.807354922057604,3.4462562298895643,4.411426245726465,4.33699741660501,4.649615459063409,5.609991295212678,2.805292455600712,4.1715271060388135,5.37920505996061,4.527320607877047,4.889960199658641,4.762348815644129,4.587964988882679,4.7230123963923685,4.232660756790275,3.5185351389821804,5.566510755857876,4.870364719583405,4.224194663970433,3.218781167784069,3.111031312388744,4.71918344048179,5.315783574589461,3.920293300211007,3.350497247084133,1.5058909297299572,3.2675357980687347,3.8379432418910273,3.940166750482817,3.2094533656289497,0.0,3.263034405833794,3.96254902292306,2.2387868595871168,3.704871964456353,2.475084882948783,2.7420062108667365,2.849999259466098,4.2630344058337934,2.6599245584023783,3.7602209464665095,4.20633064787105,4.2622828064206555,3.8298495598446904,3.821710215034674,3.6064422281316078,3.431622959713292,4.02768487693716,4.137503523749935,4.260778431893426,4.346247774082776,3.64961545906341,4.477029653013065,2.8619553641448694,3.1076878693143737
